         -20          46
          -6         -28
          30          32
         -14         -40
           2           4
           9          11
          22         -26
          21         -27
          22           2
          -7           1
          62          36
          13         -13
          30         -32
          -2         -36
          11          13
         -30         -16
         -18          -4
          25          -3
         -25          47
         -16          24
          33         -19
          11          21
          30          20
         -28          18
         -28          10
          -6          10
         -36           8
          -6           0
         -66           4
         -26          16
          16          -8
          11          25
          11          31
         -11          11
          -4          26
          33          -1
          -9          27
          -9           9
           4           6
           2         -32
          11           3
           5          31
          14         -28
          -8           4
          16          -6
         -57          43
          -8          -6
          27         -11
         -48           6
         -39          25
          34         -64
          16          12
         -19          13
          26         -38
         -47          35
         -20          -6
           4           4
          13           1
           6         -20
          33           7
         -21         -27
          17          15
          -4          -2
          23          21
          11         -11
          -9         -35
           3          17
         -23           1
          19          65
         -40         -16
          -3         -15
          -2         -20
          31          67
         -11          21
          15          35
         -20          32
          -8         -20
           1         -17
          14           8
         -17          -7
          20          -2
          48         -20
          10         -40
           3          13
         -39           1
          21          -1
          10         -22
          24           4
          -8          -6
           7          25
         -16           0
           0          32
          23          -3
         -15          11
          29          -7
          45         -13
           0         -10
         -12          -8
          18         -12
          44         -32
           8          26
           3          15
         -18         -14
          19          -9
          -9         -11
         -22         -38
          15          49
          23         -19
         -15           3
          -8         -24
           5          13
         -15          -5
         -14          34
         -37          53
         -23          33
          35           5
          19           5
          45          37
          -5           9
         -13           7
           2          -2
         -19          -5
          29         -23
           5          19
         -19         -21
           3         -27
         -35         -49
           8         -18
          10           6
          -4           0
         -25          15
         -17          31
         -22           2
         -13          19
           3         -57
          24          30
          45          23
           9          21
         -13         -13
         -14          22
         -11          23
         -10          14
          40          -8
         -11           1
          34         -10
           7           3
          -6           6
           6          20
         -23         -13
          10          52
          25          -1
          -4         -36
          14         -20
          23           5
          49         -13
         -18         -26
          27          -9
           0           2
         -13          23
         -24         -36
         -14          20
          44           0
         -37          -1
          40           6
           4          18
         -22          -2
           9          -9
           1         -21
         -13          43
          43          11
         -19         -21
          21          29
           2          34
          40          16
          39         -11
          41          -1
           2          22
          17         -43
         -22           0
          36           0
           8           0
          -3         -15
          19         -35
          22         -60
         -53          31
           7           9
         -10          38
          12          -8
         -21          23
          37         -17
         -18         -10
           4           0
         -16         -10
          16         -12
          12         -10
          26         -20
         -45         -21
          10          -2
           1         -41
         -16         -12
           6         -14
          15          25
          13         -33
         -40         -28
          -1          43
         -19         -19
           0           6
         -13          19
         -20          18
         -46          50
           8         -42
         -19         -29
          -9           5
         -18          20
         -10          16
          28         -24
          11         -51
         -18           0
          13          -5
          -9           9
          17          43
          -4          32
          -9          13
          22         -42
         -17          29
          17         -15
          -9           9
         -11           3
           8         -10
          25         -23
          16         -24
         -13          -3
